iter	RMSE
0	72339.22855
1	68691.23346
2	64738.06781
3	61265.14278
4	58098.63046
5	54956.32191
6	52474.02761
7	49934.6791
8	47962.13363
9	45604.64774
10	43668.43716
11	41943.44166
12	40164.39601
13	38472.08054
14	37219.86855
15	35918.09215
16	34795.11679
17	33706.81022
18	32836.31907
19	31808.15994
20	30895.50026
21	30126.62328
22	29465.79925
23	28785.21704
24	28182.87053
25	27668.94068
26	27211.22532
27	26705.91771
28	26109.8996
29	25646.10079
30	25248.64685
31	24837.05335
32	24492.34916
33	24077.70506
34	23810.5278
35	23501.76429
36	23178.20228
37	22931.75493
38	22637.68518
39	22389.01658
40	22141.33148
41	21877.21384
42	21656.92982
43	21484.06573
44	21252.68743
45	21001.46181
46	20852.58924
47	20671.90768
48	20456.44445
49	20270.25731
50	20052.19537
51	19937.96308
52	19810.92082
53	19624.65873
54	19508.24276
55	19358.50305
56	19224.8039
57	19092.95289
58	18974.06011
59	18894.55161
60	18764.37273
61	18623.95194
62	18508.50485
63	18407.87173
64	18333.23346
65	18232.75427
66	18139.10291
67	18056.5798
68	17949.91225
69	17813.12144
70	17756.97921
71	17720.93846
72	17667.28879
73	17642.64241
74	17607.38186
75	17447.14451
76	17410.62975
77	17299.76704
78	17247.35737
79	17215.69413
80	17181.35015
81	17119.47555
82	17032.60011
83	16884.91182
84	16761.76101
85	16658.29843
86	16540.52118
87	16479.05151
88	16391.12262
89	16272.48079
90	16153.12555
91	16104.48975
92	16082.70201
93	16011.04374
94	15915.0511
95	15896.33864
96	15828.54651
97	15813.16239
98	15765.07068
99	15749.33878
