iter	Passed	Remaining
0	174	17318
1	180	8837
2	190	6150
3	195	4692
4	201	3832
5	207	3257
6	213	2842
7	218	2514
8	222	2252
9	227	2050
10	232	1877
11	235	1728
12	240	1608
13	248	1526
14	254	1440
15	260	1365
16	264	1289
17	267	1218
18	271	1157
19	278	1113
20	281	1060
21	285	1011
22	289	969
23	292	927
24	296	888
25	300	854
26	303	821
27	306	789
28	310	759
29	313	731
30	316	704
31	319	679
32	323	656
33	326	634
34	329	612
35	333	592
36	337	573
37	340	554
38	343	536
39	346	519
40	349	503
41	352	487
42	355	471
43	358	456
44	361	442
45	365	428
46	368	415
47	371	402
48	374	389
49	377	377
50	381	366
51	384	355
52	387	344
53	390	333
54	394	322
55	397	312
56	400	301
57	403	291
58	405	281
59	409	272
60	412	263
61	415	254
62	417	245
63	420	236
64	423	228
65	426	219
66	429	211
67	432	203
68	434	195
69	437	187
70	441	180
71	445	173
72	448	165
73	451	158
74	454	151
75	458	144
76	461	137
77	464	130
78	467	124
79	468	117
80	472	110
81	475	104
82	478	98
83	482	91
84	485	85
85	488	79
86	491	73
87	493	67
88	496	61
89	499	55
90	502	49
91	504	43
92	506	38
93	508	32
94	511	26
95	512	21
96	515	15
97	517	10
98	519	5
99	520	0
